ObjectsNames,ObjectsID,IdentifiedObject.name,DiscreteValue.Discrete,MeasurementValue.MeasurementValueSource,IdentifiedObject.aliasName,Switch.normalOpen,Equipment.EquipmentContainer,Measurement.measurementType,Measurement.PowerSystemResource,Terminal.sequenceNumber,Terminal.ConductingEquipment,Terminal.ConnectivityNode,ConnectivityNode.ConnectivityNodeContainer,AuxiliaryEquipment.Terminal,PowerSystemResource.AssetDatasheet,ConductingEquipment.BaseVoltage,Terminal.phases,VoltageLevel.BaseVoltage,VoltageLevel.Substation
ACLineSegment,_dcea0d840cdd406cb415e23dce317360,Most kablowy,NA,NA,NA,NA,#_efde00ff412049c280deb00d50b73548,NA,NA,NA,NA,NA,NA,NA,NA,#BV_6,NA,NA,NA
Terminal,_4102483373c74bf98977070ab0af554b,T1,NA,NA,NA,NA,NA,NA,NA,NA,#_dcea0d840cdd406cb415e23dce317360,#_39584c37b4e94615aa0e22e67f0cef2d,NA,NA,NA,NA,NA,NA,NA
Terminal,_462ce0e3444241f28a1a347ba04b8ec5,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_dcea0d840cdd406cb415e23dce317360,#_4829ba533b0545419385a2d099664ce2,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_4829ba533b0545419385a2d099664ce2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_e216e28d70774a5e86bbde4d84a29ec2,NA,NA,NA,NA,NA,NA
PotentialTransformer,_a182ee1b66ba47609aef85122617608e,VT1,NA,NA,NA,NA,#_d57a2b5b61e8421584a3af83c2ec9950,NA,NA,NA,NA,NA,NA,#_ebad35d946544356aa58e6bd648dc183,NA,NA,NA,NA,NA
SurgeArrester,_0e0e63957d1a49fc9f6b3ddb6ed10a1f,Odgromnik,NA,NA,NA,NA,#_8ac38665287e4dc180a226aa0d1bf90d,NA,NA,NA,NA,NA,NA,#_ecb76082b64c4483962cf452c1d8c9aa,NA,NA,NA,NA,NA
SurgeArrester,_84420ea506024d6ca06de001697c79ca,Odgromnik,NA,NA,NA,NA,#_d56203e6d0b74a30814c55e42ff2610f,NA,NA,NA,NA,NA,NA,#_ec48c838c29d47c38535a891fd0a96ac,NA,NA,NA,NA,NA
PotentialTransformer,_e496474e80ac4489bd51581def833883,VT1,NA,NA,NA,NA,#_a3612eb7325249e9a148acc6d5063b7c,NA,NA,NA,NA,NA,NA,#_e88cea0b5a0c431abd9c8d6ddc08857c,NA,NA,NA,NA,NA
PotentialTransformer,_25420e18f664456fb3253966a3412bd7,VT1,NA,NA,NA,NA,#_46cda4b7e3ee4b5386d62b21a9cc41cc,NA,NA,NA,NA,NA,NA,#_5aefd50dbe2b42f3a1d98a3a5ead4eb5,NA,NA,NA,NA,NA
SurgeArrester,_fbbbf54edd2f49dab67692ffbb144458,Odgromnik,NA,NA,NA,NA,#_e6bb27b4beb54cec9089f03fa5bc2b3d,NA,NA,NA,NA,NA,NA,#_c51df6d29bf84c41b4625b5f2ce1d09d,NA,NA,NA,NA,NA
PotentialTransformer,_7e4e1d0d7a2c4b2bb51dd6fbe4846f63,VT1,NA,NA,NA,NA,#_4590bda260034afdac75bacfa3642afc,NA,NA,NA,NA,NA,NA,#_0ed9448b942f42aea6e0df87957e2d85,NA,NA,NA,NA,NA
